Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized
VolSD,2001,1966,1995,1966-01-01,1995-12-31,0.514234105963918,360,2002-01-01,2024-12-31,0.0074094861566772145,276,0.21732176944815268,1174,,3.56,0.649964101572797
XFIN,2006,1971,2000,1971-01-01,2000-12-31,0.8915393228513355,342,2007-01-01,2024-12-31,0.8401631035689262,216,0.8111380651447035,630,1.29,5.7,1.0677078252031311
zerotrade6M,2006,1960,2003,1960-01-01,2003-12-31,0.5123352737198977,528,2007-01-01,2024-12-31,0.14460173884221855,216,0.3534741785369841,1181,0.806,4.06,0.6120680294928601
zerotrade1M,2006,1960,2003,1960-01-01,2003-12-31,0.5657846671786679,528,2007-01-01,2024-12-31,0.1524058172857289,216,0.346828293057572,1176,0.56,3.46,0.521614626119531
zerotrade12M,2006,1960,2003,1960-01-01,2003-12-31,0.5169021931368889,528,2007-01-01,2024-12-31,0.10189188062054168,216,0.3452133518974685,1175,0.846,4.4,0.6633249580710799
Activism2,2005,1990,2001,1990-01-01,2001-12-31,0.3123639056937393,135,2006-01-01,2024-12-31,0.15012119955297767,14,0.44067538756491914,197,0.661666667,2.0,0.5962847939999438
AdExp,2001,1975,1996,1975-01-01,1996-12-31,0.6667419587232906,264,2002-01-01,2024-12-31,0.2927614291426558,276,0.312952882167328,728,0.529166667,,
AgeIPO,1991,1975,1987,1975-01-01,1987-12-31,1.7837493383227094,84,1992-01-01,2024-12-31,0.4778273803863552,396,0.5521895586426049,528,0.972222222,,
AnalystValue,1998,1975,1993,1975-01-01,1993-12-31,0.3367332019069778,210,1999-01-01,2024-12-31,0.2513138517746457,312,0.22894194977397408,582,0.258333333,,
AOP,1998,1975,1993,1975-01-01,1993-12-31,0.481695160798542,210,1999-01-01,2024-12-31,0.001441978316919951,312,0.21350378644178147,582,0.275,,
Beta,1973,1929,1968,1929-01-01,1968-12-31,0.2770508666408758,480,1974-01-01,2024-12-31,0.12596840030094336,612,0.14925146779797782,1162,,2.57,0.4063526793316367
BetaFP,2014,1929,2012,1929-01-01,2012-12-31,-0.0035625678616031165,1008,2015-01-01,2024-12-31,-0.06888487093073747,120,0.002640182715373548,1161,0.7,7.12,0.7768556892401328
BidAskSpread,1986,1961,1980,1961-01-01,1980-12-31,0.356679405387519,240,1987-01-01,2024-12-31,0.0021816019928199,456,0.19465447185592458,1187,,,
BrandInvest,2014,1975,2010,1975-01-01,2010-12-31,0.334118732527618,432,2015-01-01,2024-12-31,-0.28826793059726336,120,0.13713921853724123,714,0.435,2.01,0.3349999999999999
ConsRecomm,2001,1985,1997,1985-01-01,1997-12-31,0.6508941624384479,50,2002-01-01,2024-12-31,0.12449350570494787,276,0.3937194869416716,374,0.79,3.197,1.566203741535564
