Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized,Test in OP,Signal Rep Quality,rel_err,abs_rel_err,raw_ls_test,sign_match
betaVIX,2006,1986,2000,1986-01-01,2000-12-31,0.9313929081194294,179,2007-01-01,2024-12-31,0.20843713929340604,216,0.5356794106596975,467,1.04,3.9,1.0097845336849212,port sort,1_good,-0.07763203233012869,0.07763203233012869,True,True
BM,1980,1962,1976,1962-01-01,1976-12-31,0.9790480868833382,180,1981-01-01,2024-12-31,0.47929715031687825,528,0.5549051990787071,882,,,,risk-adjusted portfolio independence test,1_good,,,False,False
BMdec,1992,1963,1990,1963-01-01,1990-12-31,1.0082549138863606,336,1993-01-01,2024-12-31,0.6232201721517566,384,0.7673270176126961,870,0.5,5.71,1.0790885704413435,univariate reg,1_good,-0.06564211548085645,0.06564211548085645,False,True
BookLeverage,1992,1963,1990,1963-01-01,1990-12-31,0.605947355169534,336,1993-01-01,2024-12-31,-0.021773562710811316,384,0.0392248593109993,882,,5.34,1.0091651429346367,mv reg,1_good,-0.3995558017318667,0.3995558017318667,False,True
BPEBM,2007,1963,2001,1963-01-01,2001-12-31,0.44404006883725095,468,2008-01-01,2024-12-31,-0.05893869812310685,204,0.24268060392477042,750,,4.1,0.6565254306008571,univariate reg,1_good,-0.32365138022016593,0.32365138022016593,False,True
Cash,2012,1972,2009,1972-01-01,2009-12-31,0.49557174113068575,456,2013-01-01,2024-12-31,-0.07068264995236637,144,0.31484250531343844,639,0.69,2.14,0.34715384121983184,port sort,1_good,0.4275277478979981,0.4275277478979981,True,True
CashProd,2009,1963,2003,1963-01-01,2003-12-31,0.4979269661670237,492,2010-01-01,2024-12-31,0.20001357856719476,180,0.33774491384244554,888,,3.6,0.5622255427989817,mv reg,1_good,-0.1143643817957011,0.1143643817957011,False,True
CBOperProf,2016,1963,2014,1963-01-01,2014-12-31,0.4603884599154837,624,2017-01-01,2024-12-31,0.3459956249575668,96,0.4466922561233127,750,0.47,3.17,0.4395999055084941,port sort,1_good,0.04728971536730219,0.04728971536730219,True,True
CF,1994,1968,1990,1968-01-01,1990-12-31,0.8407088875300238,276,1995-01-01,2024-12-31,0.24624768524205587,360,0.3327366984746447,882,0.658333333,3.379,0.7045702050988556,port sort,1_good,0.19322230977971475,0.19322230977971475,True,True
cfp,2004,1973,1997,1973-01-01,1997-12-31,0.4385398011550262,300,2005-01-01,2024-12-31,0.6729162202450661,240,0.36558329133849793,726,1.275,2.77,0.5539999999999999,port sort,1_good,-0.20841191127251577,0.20841191127251577,True,True
ChangeInRecommendation,2004,1985,1998,1985-01-01,1998-12-31,2.9422701763279786,61,2005-01-01,2024-12-31,0.607797289782811,240,1.2565628129820672,373,0.225,,,LS nonstandard data,4_lack_data,,,True,False
ChAssetTurnover,2008,1984,2002,1984-01-01,2002-12-31,0.8507618019636326,228,2009-01-01,2024-12-31,0.12769284115933144,192,0.5055065735819468,858,,5.12,1.1746085574172762,mv reg,1_good,-0.2757061094171801,0.2757061094171801,False,True
ChEQ,2010,1964,2007,1964-01-01,2007-12-31,0.6421964897414049,528,2011-01-01,2024-12-31,0.5252570616566924,168,0.5655831821694424,750,0.8,5.38,0.8110655169141842,port sort,1_good,-0.20820639473770983,0.20820639473770983,True,True
ChForecastAccrual,2004,1981,1996,1981-01-01,1996-12-31,1.119015513407708,192,2005-01-01,2024-12-31,0.27212338601815395,240,0.6041693087354212,582,2.375,,,port sort,1_good,,,True,False
ChInv,2002,1970,1997,1970-01-01,1997-12-31,1.225393568980797,336,2003-01-01,2024-12-31,0.452807801303682,264,0.9589986486658524,870,0.949166667,,,port sort size adjusted no LS,1_good,,,False,False
ChInvIA,1998,1974,1988,1974-01-01,1988-12-31,1.443021832325388,180,1999-01-01,2024-12-31,0.2864026137626499,312,0.6304444939654988,870,,2.914,0.7523915647232274,reg,1_good,0.9179133578620248,0.9179133578620248,False,True
ChNAnalyst,2008,1982,2005,1982-01-01,2005-12-31,0.3761672089688041,284,2009-01-01,2024-12-31,0.1312484373046432,192,0.3918902568856929,558,0.46,3.34,0.6865590872471866,port sort FF3 alpha,1_good,-0.4520978369435375,0.4520978369435375,False,True
ChNNCOA,2008,1984,2002,1984-01-01,2002-12-31,1.0228367648182548,228,2009-01-01,2024-12-31,-0.22123760133147852,192,0.5491990162131073,870,,5.26,1.2067267601591547,mv reg,1_good,-0.1523874346804464,0.1523874346804464,False,True
ChNWC,2008,1984,2002,1984-01-01,2002-12-31,0.6047194800827806,228,2009-01-01,2024-12-31,0.2537953162943588,192,0.5036557360141574,870,,4.61,1.0576065331432898,mv reg,1_good,-0.42821884970253843,0.42821884970253843,False,True
ChTax,2011,1977,2006,1977-01-01,2006-12-31,1.6651916183455668,360,2012-01-01,2024-12-31,0.76272657784148,156,1.281417822684222,747,1.3,11.26,2.0557853325027233,port sort,1_good,-0.18999732510088774,0.18999732510088774,True,True
