Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized,Test in OP,Signal Rep Quality,rel_err,abs_rel_err,raw_ls_test,sign_match
MomSeason06YrPlus,2008,1965,2002,1965-01-01,2002-12-31,1.0022410537578834,456,2009-01-01,2024-12-31,0.07597798589420227,192,0.6901965700643768,1116,0.68,6.15,0.9976617399541896,port sort,1_good,0.004590046526094184,0.004590046526094184,True,True
MomSeason11YrPlus,2008,1965,2002,1965-01-01,2002-12-31,1.125210753495833,456,2009-01-01,2024-12-31,0.20284962792504183,192,0.735392326571637,1056,0.66,6.43,1.043083737870803,port sort,1_good,0.07873482506080666,0.07873482506080666,True,True
MomSeason16YrPlus,2008,1965,2002,1965-01-01,2002-12-31,0.8187701602761569,456,2009-01-01,2024-12-31,0.5848334367553081,192,0.7371023938826124,996,0.52,4.58,0.7429741087788924,port sort,1_good,0.10201708323569765,0.10201708323569765,True,True
MomSeasonShort,2008,1965,2002,1965-01-01,2002-12-31,1.4005391521001613,456,2009-01-01,2024-12-31,0.0978307833540827,192,0.6342625426511302,1176,1.15,7.6,1.2328828005937953,port sort,1_good,0.1359872580148068,0.1359872580148068,True,True
MomVol,2000,1965,1995,1965-01-01,1995-12-31,0.9058411305478754,372,2001-01-01,2024-12-31,0.37833261133533574,288,0.46171626709044666,1164,1.55,5.78,1.0381186457147589,port sort,1_good,-0.1274204212716058,0.1274204212716058,True,True
MS,2005,1978,2001,1978-01-01,2001-12-31,1.0122627618780904,288,2006-01-01,2024-12-31,0.6150585244523596,228,0.6278548971685669,587,1.575,9.14,1.8656946874198541,port sort,2_fair,-0.4574338616582598,0.4574338616582598,True,True
NetDebtFinance,2006,1971,2000,1971-01-01,2000-12-31,1.4397771477122057,342,2007-01-01,2024-12-31,0.6345583695517867,216,1.1845764736256625,630,0.675,6.91,1.294361591605901,port sort size adjusted,1_good,0.11234538868376731,0.11234538868376731,False,True
NetDebtPrice,2007,1963,2001,1963-01-01,2001-12-31,0.619002244326073,462,2008-01-01,2024-12-31,0.06438633731100023,204,0.3774952370373498,738,0.658333333,2.34,0.3771251471638779,double sort size adjusted,1_good,0.6413709056030903,0.6413709056030903,False,True
NetEquityFinance,2006,1971,2000,1971-01-01,2000-12-31,0.5638950084658146,342,2007-01-01,2024-12-31,0.7228652201512675,216,0.5793347016121894,630,0.93,3.82,0.7155515600484141,port sort size adjusted,1_good,-0.21194356919903637,0.21194356919903637,False,True
NetPayoutYield,2007,1984,2003,1984-01-01,2003-12-31,0.5824481873058144,240,2008-01-01,2024-12-31,0.9162749506912639,204,0.6298289432084706,858,0.37,2.83,0.6328072376324404,port sort FF3 alpha,2_fair,-0.07958039562732776,0.07958039562732776,False,True
NOA,2004,1964,2002,1964-01-01,2002-12-31,1.2108773602107146,468,2005-01-01,2024-12-31,0.017842694840440834,240,0.7765046419220586,744,1.48,8.45,1.353082899652986,LS port size+BM+Mom adjusted,1_good,-0.10509743303883429,0.10509743303883429,False,True
OPLeverage,2011,1963,2008,1963-01-01,2008-12-31,0.37110631662806354,552,2012-01-01,2024-12-31,-0.03286741973386784,156,0.3817584886873524,882,0.51,3.38,0.49835381180355226,port sort,1_good,-0.2553356514219838,0.2553356514219838,True,True
OptionVolume1,2012,1996,2010,1996-01-01,2010-12-31,0.5449466798673983,178,2013-01-01,2024-12-31,0.12111337255494108,129,0.43366586901797993,331,0.916,3.45,0.8957766073843849,port sort CAPM alpha nonstandard,2_fair,-0.39164890512310807,0.39164890512310807,False,True
OrderBacklog,2003,1981,1999,1981-01-01,1999-12-31,0.7663032875950513,228,2004-01-01,2024-12-31,-0.43612136735977586,252,-0.004135881724716869,642,,2.38,0.5460094466119368,univariate reg,1_good,0.4034615927436197,0.4034615927436197,False,True
OrderBacklogChg,2007,1971,1999,1971-01-01,1999-12-31,0.4513829683995435,330,2008-01-01,2024-12-31,0.6211866250318371,204,0.4485090391323265,630,1.1675,,,port sort,2_fair,,,True,False
OrgCap,2013,1970,2008,1970-01-01,2008-12-31,0.46954340513327353,468,2014-01-01,2024-12-31,0.2593273836037378,132,0.49710947140344963,882,0.385833333,2.85,0.45636523834449827,port sort less rf,1_good,0.02887635972577605,0.02887635972577605,False,True
OScore,1998,1981,1995,1981-01-01,1995-12-31,0.8496695910632162,180,1999-01-01,2024-12-31,0.5731466419596198,312,0.5793245250325242,636,1.17,3.36,0.8675482695504612,LS port,1_good,-0.020608280962290695,0.020608280962290695,True,True
PatentsRD,2013,1982,2008,1982-01-01,2008-12-31,0.42775560747897384,321,2014-01-01,2024-12-31,-0.998818332916914,48,-0.2028646567279466,447,0.41,4.13,0.7985243399517181,LS FF3 style,2_fair,-0.46431738385728155,0.46431738385728155,False,True
PayoutYield,2007,1984,2003,1984-01-01,2003-12-31,0.5097988308758838,240,2008-01-01,2024-12-31,0.210331714942319,204,0.2999438391236185,858,0.28,3.92,0.8765386471799175,port sort FF3 alpha,2_fair,-0.4183954894446964,0.4183954894446964,False,True
PctAcc,2011,1989,2008,1989-01-01,2008-12-31,0.7816197835860026,240,2012-01-01,2024-12-31,0.2818043624265626,156,0.6126584223388464,726,0.97,3.29,0.7356663645974307,port sort size adjusted,1_good,0.062465026539195334,0.062465026539195334,False,True
PctTotAcc,2011,1989,2008,1989-01-01,2008-12-31,1.0487896542262414,240,2012-01-01,2024-12-31,0.7749820620626517,156,0.7781935289586289,438,0.71,3.29,0.7356663645974307,port sort,1_good,0.42563219510539546,0.42563219510539546,True,True
Price,1973,1932,1971,1932-01-01,1971-12-31,0.48347851680283827,480,1974-01-01,2024-12-31,0.15703977948699266,612,0.27072296189284484,1188,,2.9,0.458530260724415,mv reg,1_good,0.054409181280660614,0.054409181280660614,False,True
PriceDelayRsq,2005,1964,2001,1964-01-01,2001-12-31,0.4420669267656407,456,2006-01-01,2024-12-31,-0.24405535379272533,224,0.30542860016660694,1165,0.31,3.4,0.5515528318445926,port sort char adjusted,1_good,-0.1985048371754186,0.1985048371754186,False,True
PS,2000,1976,1996,1976-01-01,1996-12-31,0.7948875830938722,252,2001-01-01,2024-12-31,0.23562315147578294,288,0.3448208157176916,636,1.958333333,5.594,1.2207108779801412,port sort,2_fair,-0.3488322276531695,0.3488322276531695,True,True
RD,2001,1975,1995,1975-01-01,1995-12-31,1.277633221226363,252,2002-01-01,2024-12-31,0.1372407433800061,276,0.5446247953248492,882,0.8875,,,port sort no LS,1_good,,,False,False
RDAbility,2013,1980,2009,1980-01-01,2009-12-31,0.3171591465247589,360,2014-01-01,2024-12-31,0.2354811545221191,132,0.1098340177483556,810,1.35,2.61,0.4765186250294945,double sort,1_good,-0.3344244487712771,0.3344244487712771,False,True
RDcap,2011,1980,2007,1980-01-01,2007-12-31,0.4039531220772664,330,2012-01-01,2024-12-31,-0.16420504923276444,156,0.23997403257290545,534,0.69,2.64,0.5034282471216728,LS port,1_good,-0.1975954381049349,0.1975954381049349,True,True
RDIPO,2006,1980,1995,1980-01-01,1995-12-31,0.7206533459388021,192,2007-01-01,2024-12-31,0.6785668348720509,216,0.5309681823319857,572,0.76,2.68,0.67,LS 4 factor alpha,1_good,0.07560200886388374,0.07560200886388374,False,True
RDS,2011,1976,2003,1976-01-01,2003-12-31,0.7422680947039358,336,2012-01-01,2024-12-31,-0.18285604742706726,156,0.3147494021776331,618,0.333333333,5.84,1.1036562611869434,port sort FF3 alpha,1_good,-0.32744630660124857,0.32744630660124857,False,True
RealizedVol,2006,1963,2000,1963-01-01,2000-12-31,0.42390100489663546,456,2007-01-01,2024-12-31,0.02482213033222882,216,0.20821989385438291,1181,0.97,2.86,0.4639532644339808,port sort,1_good,-0.08632822011977606,0.08632822011977606,True,True
Recomm_ShortInterest,2011,1994,2006,1994-01-01,2006-12-31,0.8082308902317803,156,2012-01-01,2024-12-31,0.3174315127390143,156,0.49710596075911684,373,1.11,4.09,1.1343619012805934,port sort FF+Mom alpha,4_lack_data,-0.2875017317494887,0.2875017317494887,False,True
ResidualMomentum,2011,1930,2009,1930-01-01,2009-12-31,0.9186263663265648,955,2012-01-01,2024-12-31,0.3557101232752323,156,0.843183093640436,1135,0.933333333,8.218550486,0.9212641355362254,LS FF+ alpha,1_good,-0.0028632062270885104,0.0028632062270885104,False,True
retConglomerate,2012,1977,2009,1977-01-01,2009-12-31,1.1577209294769502,396,2013-01-01,2024-12-31,0.31212874605762897,144,0.9261648841955539,587,1.18,5.51,0.9591678843158951,port sort,1_good,0.20700551843712803,0.20700551843712803,True,True
ReturnSkew,2015,1963,2012,1963-01-01,2012-12-31,0.7459639750864641,600,2016-01-01,2024-12-31,0.4280055403652398,108,0.8000722225686081,1187,0.47,4.01,0.567099638511611,port sort,1_good,0.31540195836536555,0.31540195836536555,True,True
ReturnSkew3F,2015,1963,2012,1963-01-01,2012-12-31,0.6178500605587965,600,2016-01-01,2024-12-31,0.39939099894798263,108,0.7172083892437883,1181,0.45,4.35,0.6151828996322963,port sort,1_good,0.004335557649756539,0.004335557649756539,True,True
REV6,1996,1977,1992,1977-01-01,1992-12-31,2.216457363544564,192,1997-01-01,2024-12-31,0.5939502090905514,336,1.0359214674768482,580,,4.07,1.0175,mv reg,1_good,1.1783364752280725,1.1783364752280725,False,True
RevenueSurprise,2006,1987,2003,1987-01-01,2003-12-31,1.392172678867736,204,2007-01-01,2024-12-31,0.650194453979095,216,1.073684579310251,739,,,,event study regression 6 months,2_fair,,,False,False
RIO_Disp,2005,1980,2003,1980-01-01,2003-12-31,0.5359074627757509,288,2006-01-01,2024-12-31,0.42757716223638964,228,0.5525243281126003,587,0.54,2.47,0.5041866387228708,port sort,1_good,0.0629148446559996,0.0629148446559996,True,True
RIO_MB,2005,1980,2003,1980-01-01,2003-12-31,0.7487200955988957,288,2006-01-01,2024-12-31,0.0996733937243279,228,0.49680021705300453,741,1.07,4.91,1.0022495530887838,port sort,1_good,-0.25296040961908944,0.25296040961908944,True,True
RIO_Turnover,2005,1980,2003,1980-01-01,2003-12-31,0.5619090432452875,288,2006-01-01,2024-12-31,0.42798104862833314,228,0.2439369740799926,1180,0.92,2.71,0.5531764335785344,port sort,1_good,0.015786300964162957,0.015786300964162957,True,True
RIO_Volatility,2005,1980,2003,1980-01-01,2003-12-31,0.8462902278261446,288,2006-01-01,2024-12-31,0.7256807169817602,228,0.33422385157721424,1179,1.07,4.38,0.89406375611586,port sort,1_good,-0.05343414042110493,0.05343414042110493,True,True
RIVolSpread,2009,1996,2004,1996-01-01,2004-12-31,0.724229877126333,107,2010-01-01,2024-12-31,0.15607260218360727,157,0.4178709274329711,324,0.732,2.9,0.9711732956035487,port sort,1_good,-0.25427327913063075,0.25427327913063075,True,True
roaq,2010,1976,2005,1976-01-01,2005-12-31,1.0168508728219634,360,2011-01-01,2024-12-31,0.7818289812959662,168,0.743796097150891,702,0.841666667,6.45,1.1776034986361072,event study at portfolio-year level,1_good,-0.13650827804123078,0.13650827804123078,False,True
sfe,2001,1982,1998,1982-01-01,1998-12-31,0.6523808042360876,204,2002-01-01,2024-12-31,0.3915952702996058,276,0.30540408895500176,573,1.466666667,4.99,1.2102527689313014,LS size adjusted,2_fair,-0.4609549170359145,0.4609549170359145,False,True
ShareIss1Y,2008,1970,2003,1970-01-01,2003-12-31,0.7510726976778374,408,2009-01-01,2024-12-31,0.6478776387752008,192,0.6214933940769234,1170,,7.08,1.2142099828089625,univariate reg,1_good,-0.3814309647328874,0.3814309647328874,False,True
ShareIss5Y,2006,1968,2003,1968-01-01,2003-12-31,0.5898117603945572,432,2007-01-01,2024-12-31,0.7785398658977226,216,0.5207913242456929,1122,,4.39,0.7316666666666666,univariate reg,2_fair,-0.19387914296871445,0.19387914296871445,False,True
ShareVol,1998,1962,1991,1962-01-01,1991-12-31,0.7166450227080485,360,1999-01-01,2024-12-31,0.05620767716899991,312,0.35346791815720935,1176,,8.86,1.6176072864985904,univariate reg,1_good,-0.5569721843555302,0.5569721843555302,False,True
Size,1981,1926,1975,1926-01-01,1975-12-31,0.3714724030764499,594,1982-01-01,2024-12-31,0.05098229041445052,516,0.2798529743222777,1182,1.01,3.07,0.4363507994744826,LS port CAPM alpha,1_good,-0.14868403237983915,0.14868403237983915,False,True
SmileSlope,2011,1996,2005,1996-01-01,2005-12-31,2.5871504140927133,119,2012-01-01,2024-12-31,1.5504624951516501,133,2.0761037801516378,324,1.8,8.168,2.593778412621539,port sort,1_good,-0.002555344934853879,0.002555344934853879,True,True
std_turn,2001,1966,1995,1966-01-01,1995-12-31,0.6007737948570105,360,2002-01-01,2024-12-31,-0.015214362656670739,276,0.2762362700572053,1164,,3.74,0.6828274550231072,mv reg,1_good,-0.12016748823217702,0.12016748823217702,False,True
STreversal,1990,1934,1987,1934-01-01,1987-12-31,1.9335979125969038,648,1991-01-01,2024-12-31,0.71566651764782,408,1.4026884412821283,1187,1.99,12.44,1.6928695777901517,port sort CAPM alpha,1_good,0.14220134732469797,0.14220134732469797,False,True
SurpriseRD,2004,1974,2001,1974-01-01,2001-12-31,0.5758368309651031,336,2005-01-01,2024-12-31,-0.05900256487472278,240,0.12988665423034085,874,0.294,3.540083799,0.669012953748769,long port FF3 alpha,1_good,-0.13927401892827307,0.13927401892827307,False,True
tang,2009,1973,2001,1973-01-01,2001-12-31,0.6817087332662789,348,2010-01-01,2024-12-31,-0.08168221318174093,180,0.318276346961452,888,,3.37,0.6257932896566647,univariate reg,1_good,0.08935129943673838,0.08935129943673838,False,True
Tax,2004,1973,2000,1973-01-01,2000-12-31,0.6525506782937839,336,2005-01-01,2024-12-31,0.713642589489075,240,0.6156880261833367,882,,3.851,0.7277705927792669,mv reg,1_good,-0.10335662808004839,0.10335662808004839,False,True
TotalAccruals,2005,1962,2001,1962-01-01,2001-12-31,0.4179001878579004,480,2006-01-01,2024-12-31,0.02337979672111321,228,0.3846666964935048,870,,6.38,1.0087665735937128,mv reg,1_good,-0.5857315271964866,0.5857315271964866,False,True
TrendFactor,2016,1930,2014,1930-01-01,2014-12-31,1.4487659014752514,1020,2017-01-01,2024-12-31,0.16826024959869648,96,1.3772245698593946,1186,1.63,15.0,1.6269784336399213,port sort,1_good,-0.10953589087592754,0.10953589087592754,True,True
VolSD,2001,1966,1995,1966-01-01,1995-12-31,0.514234105963918,360,2002-01-01,2024-12-31,0.0074094861566772145,276,0.21732176944815268,1174,,3.56,0.649964101572797,mv reg,1_good,-0.20882691102544992,0.20882691102544992,False,True
XFIN,2006,1971,2000,1971-01-01,2000-12-31,0.8915393228513355,342,2007-01-01,2024-12-31,0.8401631035689262,216,0.8111380651447035,630,1.29,5.7,1.0677078252031311,port sort size adjusted,1_good,-0.16499691975028805,0.16499691975028805,False,True
zerotrade6M,2006,1960,2003,1960-01-01,2003-12-31,0.5123352737198977,528,2007-01-01,2024-12-31,0.14460173884221855,216,0.3534741785369841,1181,0.806,4.06,0.6120680294928601,port sort,1_good,-0.16294390650594465,0.16294390650594465,True,True
zerotrade1M,2006,1960,2003,1960-01-01,2003-12-31,0.5657846671786679,528,2007-01-01,2024-12-31,0.1524058172857289,216,0.346828293057572,1176,0.56,3.46,0.521614626119531,port sort,1_good,0.08467945269812102,0.08467945269812102,True,True
zerotrade12M,2006,1960,2003,1960-01-01,2003-12-31,0.5169021931368889,528,2007-01-01,2024-12-31,0.10189188062054168,216,0.3452133518974685,1175,0.846,4.4,0.6633249580710799,port sort,1_good,-0.2207406236605088,0.2207406236605088,True,True
Activism2,2005,1990,2001,1990-01-01,2001-12-31,0.3123639056937393,135,2006-01-01,2024-12-31,0.15012119955297767,14,0.44067538756491914,197,0.661666667,2.0,0.5962847939999438,port sort CAPM alpha,1_good,-0.4761498048635989,0.4761498048635989,False,True
AdExp,2001,1975,1996,1975-01-01,1996-12-31,0.6667419587232906,264,2002-01-01,2024-12-31,0.2927614291426558,276,0.312952882167328,728,0.529166667,,,port sort no LS,1_good,,,False,False
AgeIPO,1991,1975,1987,1975-01-01,1987-12-31,1.7837493383227094,84,1992-01-01,2024-12-31,0.4778273803863552,396,0.5521895586426049,528,0.972222222,,,event study 3 year,2_fair,,,False,False
AnalystValue,1998,1975,1993,1975-01-01,1993-12-31,0.3367332019069778,210,1999-01-01,2024-12-31,0.2513138517746457,312,0.22894194977397408,582,0.258333333,,,port sort nonstandard p-val,2_fair,,,False,False
AOP,1998,1975,1993,1975-01-01,1993-12-31,0.481695160798542,210,1999-01-01,2024-12-31,0.001441978316919951,312,0.21350378644178147,582,0.275,,,port sort nonstandard p-val,2_fair,,,False,False
Beta,1973,1929,1968,1929-01-01,1968-12-31,0.2770508666408758,480,1974-01-01,2024-12-31,0.12596840030094336,612,0.14925146779797782,1162,,2.57,0.4063526793316367,univariate reg,1_good,-0.31820096007102683,0.31820096007102683,False,True
BetaFP,2014,1929,2012,1929-01-01,2012-12-31,-0.0035625678616031165,1008,2015-01-01,2024-12-31,-0.06888487093073747,120,0.002640182715373548,1161,0.7,7.12,0.7768556892401328,port sort nonstandard,3_distant,-1.0045858811500599,1.0045858811500599,True,False
BidAskSpread,1986,1961,1980,1961-01-01,1980-12-31,0.356679405387519,240,1987-01-01,2024-12-31,0.0021816019928199,456,0.19465447185592458,1187,,,,double sort no LS,2_fair,,,False,False
BrandInvest,2014,1975,2010,1975-01-01,2010-12-31,0.334118732527618,432,2015-01-01,2024-12-31,-0.28826793059726336,120,0.13713921853724123,714,0.435,2.01,0.3349999999999999,port sort,1_good,-0.0026306491712893448,0.0026306491712893448,True,True
ConsRecomm,2001,1985,1997,1985-01-01,1997-12-31,0.6508941624384479,50,2002-01-01,2024-12-31,0.12449350570494787,276,0.3937194869416716,374,0.79,3.197,1.566203741535564,port sort nonstandard data,4_lack_data,-0.5844128415883574,0.5844128415883574,True,True
Coskewness,2000,1964,1993,1964-01-01,1993-12-31,0.4239204485165234,360,2001-01-01,2024-12-31,0.3468796636380641,288,0.1103092907763779,1170,0.3,1.96,0.3578454042367085,LS port,1_good,0.1846468991847311,0.1846468991847311,True,True
DebtIssuance,1999,1975,1989,1975-01-01,1989-12-31,0.7635572000382329,180,2000-01-01,2024-12-31,0.16968561478335045,300,0.5407582558548946,636,0.29,2.19,0.5654555685462828,long less risk-free ff3 alpha,2_fair,0.35033987197481364,0.35033987197481364,False,True
DelDRC,2013,2002,2007,2002-01-01,2007-12-31,0.6734805574334884,72,2014-01-01,2024-12-31,0.373525229366814,132,0.31620715072621247,294,,3.59,1.4656113627652683,univariate reg,1_good,-0.5404780731484048,0.5404780731484048,False,True
DownRecomm,2001,1985,1997,1985-01-01,1997-12-31,2.6080744753130625,49,2002-01-01,2024-12-31,0.6049302901121986,276,1.022194539306063,373,,,,event study 3 day nonstandard data,4_lack_data,,,False,False
FirmAge,1984,1931,1980,1931-01-01,1980-12-31,-0.008771353455396686,600,1985-01-01,2024-12-31,-0.1795283961544663,480,-0.13795165113909783,1158,,2.48,0.35072496346852755,mv reg nontstandard data,4_lack_data,-1.0250092076955446,1.0250092076955446,False,False
FR,2006,1980,2002,1980-01-01,2002-12-31,0.36213486994908917,258,2007-01-01,2024-12-31,-0.35457440481534797,216,-0.0940152265303249,522,0.4875,,,port sort no LS,2_fair,,,False,False
GrLTNOA,2003,1964,1993,1964-01-01,1993-12-31,0.6773682771887722,360,2004-01-01,2024-12-31,-0.11488080255678976,252,0.33838011674403035,870,0.61,,,port sort but no LS FF3 adjusted,1_good,,,False,False
GrSaleToGrInv,1998,1974,1988,1974-01-01,1988-12-31,0.8782379670120071,180,1999-01-01,2024-12-31,-0.06152647136396411,312,0.5320499611942375,870,,2.372,0.6124477664802661,reg,1_good,0.43398019403227767,0.43398019403227767,False,True
GrSaleToGrOverhead,1998,1974,1988,1974-01-01,1988-12-31,-0.11207558047094383,180,1999-01-01,2024-12-31,-0.23087740858530634,312,-0.0014184575968007697,870,,2.069,0.5342135028868763,reg,1_good,-1.2097954841375034,1.2097954841375034,False,False
HerfAsset,2006,1963,2001,1963-01-01,2001-12-31,0.2687164593288484,468,2007-01-01,2024-12-31,-0.48138356195600585,216,-0.028839748500032368,877,0.2,2.12,0.3394716860667847,port sort char adjusted,1_good,-0.20842747611067777,0.20842747611067777,False,True
High52,2004,1963,2001,1963-01-01,2001-12-31,0.30127261071630457,468,2005-01-01,2024-12-31,0.14396217047824514,240,0.020232945296200233,1182,0.45,2.0,0.3202563076101742,port sort,1_good,-0.0592765745522089,0.0592765745522089,True,True
IO_ShortInterest,2005,1980,2002,1980-01-01,2002-12-31,0.6392760466398273,276,2006-01-01,2024-12-31,0.7220527472700252,228,0.6375076972518798,541,0.98,,,port sort 4-factor alpha difference,1_good,,,False,False
MomOffSeason11YrPlus,2008,1965,2002,1965-01-01,2002-12-31,0.2538233158174948,456,2009-01-01,2024-12-31,0.05233778173113361,192,0.2637693144220056,1067,0.19,1.77,0.28713191540144967,port sort,1_good,-0.11600451847153564,0.11600451847153564,True,True
MRreversal,1985,1933,1980,1933-01-01,1980-12-31,0.30092740704513815,576,1986-01-01,2024-12-31,0.3018344818888906,468,0.3035800426022905,1170,0.75,,,LS port nonstandard (plot only),3_distant,,,True,False
NumEarnIncrease,2012,1987,2009,1987-01-01,2009-12-31,1.3601266596245403,276,2013-01-01,2024-12-31,0.6636137259483341,144,1.183841393616987,732,,,,port sort FF3 alpha,3_distant,,,False,False
OperProf,2006,1977,2003,1977-01-01,2003-12-31,0.5828474241700491,324,2007-01-01,2024-12-31,0.5587737111089826,216,0.46183727922377354,738,,2.55,0.49074772881118184,mv reg,1_good,0.1876721784978513,0.1876721784978513,False,True
OperProfRD,2016,1963,2014,1963-01-01,2014-12-31,0.2589991010983484,618,2017-01-01,2024-12-31,0.5880770117002863,96,0.33098575098257055,738,0.29,1.84,0.2563977492593153,port sort,1_good,0.010145767061325263,0.010145767061325263,True,True
OptionVolume2,2012,1996,2010,1996-01-01,2010-12-31,0.5885476095038428,177,2013-01-01,2024-12-31,-0.42608915917443485,129,0.32930441601911054,330,0.516,2.45,0.637925663806037,port sort CAPM alpha nonstandard,2_fair,-0.07740408813088252,0.07740408813088252,False,True
PredictedFE,1998,1979,1993,1979-01-01,1993-12-31,0.4012613079078993,126,1999-01-01,2024-12-31,-0.030617557632726923,312,0.08586208073559451,498,,,,univariate reg nonstandard p-val,3_distant,,,False,False
PriceDelaySlope,2005,1964,2001,1964-01-01,2001-12-31,0.3023231050157515,456,2006-01-01,2024-12-31,-0.13791742819605976,224,0.18906351234134805,1165,1.21,7.7,1.2491049427068714,port sort char adjusted,3_distant,-0.7579682101324469,0.7579682101324469,False,True
PriceDelayTstat,2005,1964,2001,1964-01-01,2001-12-31,0.3072406598446632,456,2006-01-01,2024-12-31,-0.1330648212656446,224,0.15695236989461928,1165,1.1,7.39,1.1988163021563352,port sort char adjusted,3_distant,-0.743713311795958,0.743713311795958,False,True
ProbInformedTrading,2002,1984,1998,1984-01-01,1998-12-31,1.0656611633959494,60,2003-01-01,2024-12-31,0.13429553642953268,132,0.35983495619838785,240,,2.496,1.116245134367895,mv reg,1_good,-0.04531618496199775,0.04531618496199775,False,True
realestate,2010,1971,2005,1971-01-01,2005-12-31,0.3263162860870402,420,2011-01-01,2024-12-31,0.167749274105429,168,0.258226253091123,654,0.244166667,1.8,0.304255531702266,port sort,1_good,0.072507323897605,0.072507323897605,True,True
RoE,1996,1979,1993,1979-01-01,1993-12-31,0.7295721930802292,180,1997-01-01,2024-12-31,0.3901969847171989,336,0.3413638899662692,762,,4.5,1.161895003862225,mv reg nonstandard,2_fair,-0.37208423252094447,0.37208423252094447,False,True
ShareRepurchase,1995,1980,1990,1980-01-01,1990-12-31,1.1868876645315085,132,1996-01-01,2024-12-31,0.4467897308169934,348,0.4745527151037905,630,0.17,1.852179859,0.5584532396869426,long port char adjusted,3_distant,1.1253125242801945,1.1253125242801945,False,True
ShortInterest,2001,1976,1993,1976-01-01,1993-12-31,1.2456544386940225,216,2002-01-01,2024-12-31,0.8294872280887171,276,0.8769896697787096,623,0.35,,,pooled mean,2_fair,,,False,False
sinAlgo,2009,1926,2006,1926-01-01,2006-12-31,0.17847579378418782,972,2010-01-01,2024-12-31,-0.08290115548982586,180,0.14057186246357473,1188,0.3,2.0,0.22222222222222218,LS nonstandard,2_fair,-0.19685892797115467,0.19685892797115467,True,True
skew1,2010,1996,2005,1996-01-01,2005-12-31,0.9924426246267463,119,2011-01-01,2024-12-31,0.34418208445446885,145,0.6523140827452886,324,0.64,2.19,0.6954425469688016,port sort weekly,2_fair,0.42706630325174577,0.42706630325174577,False,True
SP,1996,1979,1991,1979-01-01,1991-12-31,0.7917460533644414,156,1997-01-01,2024-12-31,0.6048569529305892,336,0.6874341182782424,882,,2.52,0.6989222472437886,mv reg,1_good,0.1328099176792626,0.1328099176792626,False,True
Spinoff,1993,1965,1988,1965-01-01,1988-12-31,0.4464235004011904,288,1994-01-01,2024-12-31,-0.02902369230222569,372,0.1845393007978982,1188,2.083333333,2.43,0.49602167291359367,event study nonstandard data,4_lack_data,-0.09999194636207603,0.09999194636207603,False,True
UpRecomm,2001,1985,1997,1985-01-01,1997-12-31,2.5054068385148,49,2002-01-01,2024-12-31,0.5412374443529957,276,1.015168128134231,373,,,,event study 3 day nonstandard data,4_lack_data,,,False,False
VarCF,1996,1979,1993,1979-01-01,1993-12-31,-0.48257357495102376,180,1997-01-01,2024-12-31,-0.032903036911887215,336,-0.2594823405067323,858,,2.5,0.6454972243679028,mv reg nonstandard,2_fair,-1.7475997676420365,1.7475997676420365,False,False
VolMkt,1996,1979,1993,1979-01-01,1993-12-31,0.4023165718867216,180,1997-01-01,2024-12-31,0.2554250387907922,336,0.1735099618971212,1182,,4.0,1.0327955589886444,mv reg nonstandard,2_fair,-0.610458654294867,0.610458654294867,False,True
VolumeTrend,1996,1979,1993,1979-01-01,1993-12-31,0.740545004281778,180,1997-01-01,2024-12-31,0.9605801649170878,336,0.5672392578525508,1158,,3.0,0.7745966692414833,mv reg nonstandard,2_fair,-0.04396051043319102,0.04396051043319102,False,True
