Acronym,post_n_months,post_mean_pct,post_t,post_p,bh_q,fdr_reject_at_0.05
PriceDelayTstat,224,-0.10632609356408249,-0.5749057351350872,0.5659346083782935,0.7521915680977318,False
ProbInformedTrading,132,0.367022851807903,0.4454079053562648,0.6567601773496017,0.8258660912779423,False
realestate,168,0.1350008617522643,0.6276603105825451,0.5310837901805385,0.7337341838020598,False
RoE,336,0.3796178159442776,2.064728367777958,0.03971791092997812,0.14380622922923111,False
ShareRepurchase,348,0.28456864675864163,2.4060363345847713,0.01664904709591175,0.07769555311425484,False
ShortInterest,276,0.9829098943035568,3.9780809966531576,8.890960059404485e-05,0.00207455734719438,True
sinAlgo,180,-0.07649074343294102,-0.32107479459344723,0.7485282761983829,0.8795972197257242,False
skew1,145,0.18128765196182883,1.196414419303792,0.2335010332079832,0.44986437590528877,False
SP,336,0.8830331277187279,3.2006021524452795,0.00150266676904387,0.017740754297224923,True
Spinoff,372,-0.029383692975903333,-0.16159707967807624,0.8717111232135906,0.9291334380488409,False
UpRecomm,276,0.18381589305018506,2.5956835972253107,0.009947389234845394,0.05404207549102852,False
VarCF,336,-0.05827498524390219,-0.17410650609526446,0.8618869250889045,0.9281859193265126,False
VolMkt,336,0.3684228155639863,1.3515822625189247,0.17742091606172705,0.3819988427907409,False
VolumeTrend,336,0.6850827826747461,5.08291246142405,6.192806221161362e-07,3.251223266109715e-05,True
